Signal,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Word
46,65,390,787,1087,1490,1946,3141,4379,low
33,70,374,756,1047,1444,1907,3196,4223,low
37,51,396,773,1096,1402,1874,3178,4153,low
32,91,353,750,1003,1430,1841,3249,4248,low
39,81,399,763,1037,1416,1853,3114,4145,low
15,65,387,786,1073,1324,1966,3122,4118,low
36,92,359,767,1082,1342,1972,3211,4143,low
42,100,398,753,1048,1367,1814,3130,4201,low
37,55,375,787,1030,1396,1915,3107,4174,low
19,86,363,760,1021,1470,1974,3258,4411,low
42,64,368,785,1087,1328,1866,3154,4497,low
13,91,391,755,1057,1486,1993,3149,4309,low
13,91,381,798,1071,1306,1849,3281,4400,low
39,97,394,750,1068,1316,1982,3263,4312,low
20,59,390,768,1002,1477,1830,3287,4262,low
19,58,367,754,1046,1391,1800,3129,4118,low
47,51,362,798,1048,1387,1880,3263,4280,low
19,53,351,780,1024,1332,1833,3248,4119,low
37,88,374,769,1037,1462,1955,3294,4448,low
25,93,356,757,1059,1333,1920,3289,4219,low
41,58,362,779,1016,1400,1844,3203,4427,low
34,74,358,769,1063,1462,1881,3290,4427,low
30,87,399,762,1042,1429,1925,3219,4312,low
13,88,367,792,1051,1440,1976,3268,4355,low
43,83,380,754,1067,1427,1871,3130,4353,low
33,67,370,767,1015,1426,1810,3229,4475,low
35,75,382,796,1094,1320,1991,3105,4364,low
21,87,382,765,1028,1457,1929,3127,4274,low
15,100,352,796,1048,1314,1853,3269,4198,low
36,64,367,795,1009,1448,1979,3251,4302,low
35,147,541,847,1093,1458,1983,3446,4647,mid
42,177,443,883,1102,1505,2318,3640,4417,mid
45,118,488,856,1098,1592,1952,3690,4586,mid
21,139,483,875,1119,1456,2317,3227,4670,mid
32,199,365,897,1088,1586,1920,3738,4538,mid
34,151,495,841,1115,1450,1990,3759,4633,mid
10,121,459,865,1108,1481,2138,3360,4635,mid
36,192,351,880,1089,1570,2208,3506,4464,mid
47,189,489,876,1102,1469,2033,3377,4475,mid
14,121,458,849,1125,1527,1980,3771,4427,mid
25,183,522,867,1097,1453,2077,3414,4561,mid
23,169,392,871,1097,1462,2231,3230,4410,mid
37,169,497,873,1084,1473,2175,3281,4509,mid
20,90,436,841,1080,1553,1995,3219,4520,mid
29,146,505,875,1129,1466,2077,3297,4522,mid
28,151,400,873,1096,1533,2148,3283,4539,mid
17,105,458,861,1114,1473,2042,3335,4670,mid
46,155,383,849,1097,1490,2356,3214,4650,mid
29,137,389,858,1109,1561,2261,3577,4540,mid
18,140,424,862,1128,1499,2340,3685,4442,mid
29,108,450,853,1101,1540,1945,3275,4430,mid
40,166,481,861,1081,1502,2210,3533,4429,mid
11,131,461,873,1091,1481,2339,3422,4528,mid
24,134,447,856,1106,1595,2310,3280,4645,mid
20,194,404,878,1094,1480,2085,3639,4619,mid
35,97,498,853,1115,1492,2002,3293,4436,mid
23,185,430,884,1126,1578,2274,3552,4625,mid
26,174,447,858,1119,1530,2097,3292,4486,mid
29,94,510,844,1096,1527,2076,3216,4535,mid
46,198,332,897,1126,1523,1984,3255,4644,mid
11,222,673,888,1131,1663,2801,3599,4769,high
9,205,529,895,1151,1626,2286,3752,4817,high
19,260,636,902,1124,1648,2694,3928,4761,high
7,255,607,865,1159,1674,2286,3537,4859,high
27,181,608,880,1128,1599,2376,3523,4677,high
41,204,534,850,1122,1578,2550,3560,4601,high
32,241,650,921,1110,1641,2528,3542,4811,high
8,198,533,907,1137,1668,2791,3651,4854,high
25,210,544,897,1171,1662,2636,3521,4744,high
13,233,607,887,1135,1674,2746,3947,4747,high
41,240,616,856,1165,1588,2539,3589,4702,high
23,236,599,883,1160,1568,2770,3934,4931,high
8,256,557,916,1147,1615,2689,3826,4897,high
42,181,670,879,1124,1601,2312,3798,4780,high
47,244,490,883,1112,1616,2921,3931,4815,high
17,232,573,858,1142,1639,2371,3698,4872,high
13,186,596,896,1163,1572,2260,3669,4925,high
25,240,499,889,1140,1624,2817,3553,4790,high
11,251,634,912,1115,1581,2830,3856,4809,high
38,243,664,858,1117,1566,2855,3940,4804,high
36,235,508,890,1149,1643,2409,3861,4693,high
7,272,551,891,1152,1557,2706,3852,4806,high
27,241,672,867,1142,1602,2258,3638,4673,high
25,228,528,915,1158,1670,2749,3748,4824,high
46,220,604,853,1109,1570,2268,3959,4690,high
31,217,487,876,1157,1561,2841,3969,4684,high
19,241,491,907,1173,1577,2219,3544,4679,high
40,207,574,924,1123,1555,2930,3586,4791,high
14,233,567,858,1120,1649,2587,3904,4966,high
12,195,514,922,1129,1622,2332,3758,4782,high
43,65,352,768,1058,1312,1923,3242,4454,low
40,60,357,757,1014,1432,1975,3219,4280,low
23,75,364,797,1067,1386,1995,3189,4344,low
40,81,364,783,1089,1403,1853,3278,4183,low
26,58,391,755,1037,1426,1983,3290,4298,low
25,73,376,776,1097,1402,1896,3248,4455,low
31,98,390,794,1024,1483,1995,3260,4299,low
21,99,361,783,1008,1316,1981,3233,4312,low
44,72,363,786,1065,1311,1827,3135,4159,low
18,92,398,785,1096,1450,1938,3111,4246,low
47,69,377,773,1077,1334,1885,3161,4363,low
38,62,362,794,1048,1366,1907,3155,4216,low
24,52,381,767,1006,1344,1836,3232,4475,low
33,84,370,761,1039,1334,1828,3119,4415,low
44,83,352,791,1024,1324,1914,3115,4460,low
15,83,371,788,1081,1381,1913,3152,4144,low
28,56,396,785,1081,1462,1971,3133,4294,low
27,91,356,800,1083,1413,1965,3158,4275,low
25,91,379,796,1005,1418,1952,3282,4189,low
20,50,365,771,1064,1397,1987,3248,4301,low
15,59,387,751,1087,1313,1984,3260,4187,low
7,73,374,762,1061,1326,1821,3276,4166,low
31,64,398,753,1093,1469,1915,3199,4389,low
33,65,380,756,1060,1404,1925,3259,4465,low
38,70,353,754,1042,1406,1893,3163,4175,low
32,55,377,798,1062,1356,1853,3273,4121,low
43,99,366,767,1054,1397,1821,3185,4271,low
37,87,361,792,1020,1335,1999,3157,4192,low
37,65,374,762,1068,1339,1829,3263,4350,low
7,79,368,774,1051,1406,1846,3272,4292,low
7,147,457,874,1128,1513,2086,3799,4698,mid
38,175,352,893,1105,1549,2048,3697,4579,mid
12,146,431,900,1083,1474,2075,3340,4408,mid
18,167,499,892,1096,1504,2277,3511,4576,mid
29,123,489,862,1107,1553,1920,3289,4574,mid
47,139,399,884,1120,1586,2039,3615,4642,mid
13,88,418,897,1084,1465,2060,3433,4653,mid
39,160,544,894,1095,1473,1959,3570,4451,mid
7,136,436,897,1083,1537,2277,3319,4522,mid
9,175,341,852,1082,1452,2099,3583,4666,mid
43,149,545,848,1124,1465,2389,3776,4673,mid
43,194,462,849,1116,1554,2226,3398,4590,mid
19,98,487,840,1118,1570,2028,3618,4525,mid
28,130,376,853,1083,1478,2110,3529,4523,mid
46,159,549,888,1117,1570,1967,3496,4687,mid
37,142,493,867,1124,1516,2220,3348,4615,mid
31,155,441,900,1102,1513,2352,3425,4497,mid
9,165,537,885,1129,1511,1924,3643,4450,mid
39,127,356,887,1081,1555,2359,3626,4426,mid
41,183,480,865,1087,1528,2226,3201,4414,mid
11,102,487,898,1112,1515,2234,3294,4640,mid
13,175,503,851,1126,1530,2313,3413,4695,mid
40,81,529,842,1109,1522,2277,3718,4408,mid
39,162,476,849,1086,1552,2065,3418,4446,mid
32,87,444,879,1114,1564,2327,3643,4492,mid
12,80,450,866,1098,1592,2370,3543,4652,mid
47,147,371,842,1112,1558,2104,3329,4598,mid
20,155,448,894,1114,1476,2061,3650,4667,mid
20,146,378,882,1130,1465,1985,3763,4483,mid
23,170,407,849,1129,1518,2210,3586,4414,mid
30,241,538,913,1156,1604,2311,3947,4817,high
35,198,560,895,1125,1661,2459,3621,4852,high
36,245,541,892,1158,1573,2345,3593,4851,high
39,269,625,890,1167,1568,2799,3929,4604,high
37,254,560,875,1110,1668,2712,3843,4921,high
23,199,499,912,1153,1646,2870,3867,4893,high
16,193,542,891,1123,1578,2668,3954,4748,high
23,233,567,863,1145,1660,2822,3702,4903,high
11,225,505,854,1105,1638,2609,3645,4840,high
11,183,631,861,1130,1597,2302,3847,4952,high
40,260,636,864,1133,1596,2868,3604,4620,high
8,273,548,856,1137,1618,2511,3861,4886,high
15,254,642,876,1161,1671,2273,3957,4789,high
23,203,542,922,1127,1583,2556,3873,4863,high
7,213,623,862,1153,1647,2932,3793,4852,high
9,230,518,893,1110,1554,2355,3766,4879,high
22,209,657,920,1160,1609,2707,3824,4647,high
13,190,554,857,1162,1648,2536,3824,4684,high
16,261,564,851,1124,1611,2669,3892,4632,high
47,231,588,914,1105,1581,2268,3805,4629,high
20,209,668,860,1145,1675,2277,3505,4895,high
47,273,521,889,1144,1615,2295,3870,4666,high
38,205,601,869,1104,1655,2221,3673,4787,high
8,265,630,883,1173,1569,2675,3763,4868,high
28,193,576,913,1112,1607,2536,3862,4975,high
24,207,650,892,1166,1656,2209,3626,4723,high
26,269,605,893,1153,1650,2897,3528,4700,high
10,192,563,905,1139,1599,2817,3578,4853,high
37,232,491,905,1147,1589,2731,3620,4844,high
37,216,511,889,1124,1675,2661,3694,4806,high
35,87,386,750,1065,1379,1860,3215,4185,low
23,69,393,768,1057,1479,1801,3207,4345,low
41,65,377,754,1075,1406,1855,3173,4367,low
20,89,394,790,1020,1413,1997,3177,4108,low
21,81,388,800,1008,1349,1942,3209,4173,low
26,80,398,777,1080,1360,1940,3167,4297,low
10,80,397,782,1050,1393,1866,3180,4409,low
44,50,397,788,1046,1482,1975,3104,4177,low
31,85,361,787,1076,1337,1878,3129,4172,low
32,91,380,788,1002,1365,1969,3106,4161,low
23,76,372,761,1084,1417,1908,3283,4323,low
12,80,393,765,1099,1318,1932,3286,4297,low
47,66,374,795,1089,1471,1918,3300,4319,low
47,74,365,783,1094,1303,1903,3156,4133,low
31,84,374,797,1076,1437,1976,3123,4338,low
25,64,357,757,1074,1482,1972,3261,4407,low
24,80,378,785,1072,1425,1933,3251,4105,low
39,60,370,793,1057,1409,1908,3223,4198,low
27,52,383,789,1006,1461,1849,3279,4131,low
26,59,400,754,1014,1367,1954,3221,4421,low
38,77,363,758,1077,1312,1861,3225,4414,low
23,64,390,786,1078,1450,1828,3159,4402,low
27,97,358,799,1082,1338,1942,3166,4482,low
9,81,399,779,1053,1411,1816,3260,4248,low
32,82,377,782,1048,1316,1941,3258,4133,low
13,87,356,761,1096,1378,1901,3296,4385,low
45,80,396,767,1080,1438,1922,3244,4295,low
28,58,362,786,1064,1312,1925,3271,4247,low
38,78,395,774,1022,1465,1981,3112,4111,low
25,62,360,798,1010,1369,1954,3266,4281,low
30,122,543,878,1083,1492,2116,3213,4599,mid
8,136,511,893,1085,1514,2271,3237,4420,mid
29,124,468,899,1084,1452,2161,3201,4441,mid
13,197,359,880,1094,1573,2166,3474,4651,mid
19,164,444,898,1121,1532,2388,3796,4649,mid
17,145,502,848,1099,1510,2080,3784,4571,mid
36,168,491,847,1108,1544,2376,3766,4597,mid
11,181,492,877,1101,1485,2334,3363,4669,mid
46,177,496,889,1086,1490,1931,3679,4537,mid
33,163,403,848,1093,1450,2013,3301,4409,mid
33,190,495,862,1091,1461,2116,3779,4673,mid
33,132,356,877,1091,1471,2332,3759,4659,mid
19,164,461,873,1107,1519,2305,3435,4697,mid
11,127,366,857,1122,1566,2344,3221,4576,mid
12,125,378,889,1127,1476,2004,3305,4526,mid
39,160,444,867,1115,1483,2007,3454,4692,mid
33,103,435,852,1108,1453,2282,3642,4445,mid
9,161,439,891,1097,1562,2337,3671,4576,mid
36,89,403,900,1082,1486,2106,3323,4504,mid
29,125,331,875,1107,1507,2400,3707,4513,mid
23,170,489,854,1123,1481,2240,3481,4409,mid
27,170,419,881,1091,1464,2336,3604,4625,mid
22,96,341,888,1130,1544,2332,3395,4553,mid
29,170,489,855,1126,1583,2065,3472,4468,mid
34,107,410,847,1084,1472,2098,3735,4498,mid
28,180,435,875,1117,1545,2018,3266,4487,mid
13,89,534,861,1120,1539,2019,3580,4664,mid
42,80,548,884,1126,1529,2013,3558,4440,mid
25,198,480,861,1099,1568,2374,3450,4519,mid
45,115,501,862,1090,1515,1911,3548,4627,mid
38,275,509,903,1148,1566,2877,3917,4799,high
32,237,606,903,1110,1606,2594,3615,4830,high
15,194,585,864,1149,1666,2750,3560,4623,high
42,273,635,904,1143,1667,2257,3959,4888,high
7,239,668,906,1126,1663,2902,3743,4901,high
11,256,499,852,1152,1640,2239,3809,4868,high
21,187,631,856,1106,1630,2633,3947,4660,high
18,185,577,893,1110,1638,2552,3780,4600,high
9,206,519,894,1100,1586,2415,3840,4663,high
14,264,503,885,1103,1587,2855,3860,4778,high
32,242,643,878,1146,1593,2289,3557,4732,high
31,207,489,909,1166,1637,2656,3760,4885,high
24,273,642,854,1107,1584,2579,3904,4890,high
24,200,601,858,1115,1660,2563,3551,4720,high
45,197,508,913,1155,1584,2282,3972,4810,high
36,249,555,905,1172,1553,2543,3512,4743,high
25,247,629,897,1139,1552,2804,3518,4675,high
28,195,606,904,1106,1606,2206,3547,4604,high
37,239,670,889,1129,1664,2851,3817,4932,high
37,271,559,893,1146,1586,2650,3559,4733,high
14,260,578,865,1144,1604,2671,3738,4748,high
26,257,522,863,1168,1569,2943,3637,4716,high
38,244,600,873,1160,1612,2759,3830,4694,high
35,234,522,881,1136,1625,2724,3634,4791,high
16,233,483,924,1100,1575,2353,3768,4728,high
23,239,628,865,1166,1583,2771,3731,4871,high
10,267,520,922,1117,1563,2230,3819,4865,high
8,269,507,854,1101,1648,2779,3966,4857,high
8,251,667,890,1113,1629,2249,3884,4822,high
44,269,565,910,1129,1663,2668,3958,4839,high
37,88,384,797,1039,1318,1943,3192,4407,low
23,99,390,788,1050,1450,1872,3238,4434,low
12,78,393,753,1072,1467,1902,3251,4349,low
20,79,355,778,1024,1442,1945,3167,4175,low
24,72,396,791,1018,1403,1811,3126,4314,low
16,56,369,761,1087,1338,1919,3278,4313,low
38,97,381,761,1073,1331,1971,3294,4477,low
47,56,358,789,1000,1404,1895,3139,4218,low
12,76,377,771,1080,1382,1999,3252,4453,low
35,59,368,786,1092,1424,1953,3196,4480,low
7,62,354,781,1065,1455,1843,3275,4175,low
32,70,385,782,1039,1442,1943,3166,4440,low
15,94,390,780,1054,1461,1873,3247,4500,low
41,79,392,778,1093,1394,1994,3242,4435,low
42,96,351,754,1059,1463,1874,3142,4295,low
13,99,379,771,1032,1459,1807,3181,4189,low
27,65,358,757,1071,1487,1951,3216,4179,low
31,99,380,758,1004,1428,1832,3102,4351,low
40,94,378,793,1095,1479,1894,3114,4470,low
28,100,371,758,1057,1353,1992,3250,4251,low
35,89,352,782,1029,1326,1964,3277,4192,low
32,59,370,767,1084,1445,1908,3254,4379,low
28,94,395,785,1075,1418,1812,3168,4251,low
21,90,388,776,1098,1433,1860,3286,4349,low
45,92,376,796,1086,1349,1966,3131,4267,low
18,71,394,757,1022,1305,1962,3165,4266,low
33,92,364,794,1096,1436,1921,3109,4298,low
22,96,393,796,1091,1394,1834,3276,4249,low
23,74,356,771,1061,1473,1940,3195,4439,low
14,85,373,768,1050,1303,1972,3214,4243,low
10,125,504,865,1090,1590,1907,3225,4520,mid
45,103,383,847,1085,1515,1946,3286,4637,mid
45,174,506,873,1084,1458,2356,3504,4553,mid
17,120,479,867,1094,1588,2217,3417,4454,mid
36,116,367,892,1095,1465,2298,3301,4475,mid
11,122,429,857,1103,1555,2289,3497,4698,mid
31,199,339,840,1113,1460,2383,3767,4456,mid
35,136,527,877,1092,1587,2266,3314,4428,mid
43,199,387,870,1127,1532,2224,3643,4528,mid
45,116,513,861,1080,1453,2286,3489,4671,mid
19,104,386,851,1090,1535,2392,3560,4552,mid
47,187,360,847,1123,1505,2227,3600,4650,mid
36,162,481,889,1109,1590,2266,3415,4642,mid
11,118,369,882,1099,1459,2029,3613,4576,mid
45,172,547,843,1104,1595,1966,3563,4572,mid
44,85,380,894,1095,1498,2400,3437,4690,mid
33,178,430,864,1118,1548,1985,3775,4616,mid
27,170,435,861,1108,1486,1914,3381,4680,mid
27,160,337,867,1091,1475,2225,3646,4414,mid
23,197,532,868,1091,1586,2269,3370,4695,mid
15,95,390,887,1105,1456,2197,3544,4626,mid
46,143,419,847,1124,1466,2082,3761,4624,mid
11,154,359,851,1100,1499,2143,3455,4438,mid
27,180,335,865,1101,1482,2288,3395,4696,mid
44,200,440,849,1108,1501,2374,3455,4431,mid
31,147,456,894,1122,1508,2208,3370,4412,mid
35,137,431,865,1080,1563,2039,3375,4698,mid
12,185,402,872,1104,1453,2124,3301,4416,mid
16,89,361,870,1084,1470,2227,3742,4412,mid
32,193,524,881,1113,1542,2018,3648,4574,mid
37,220,553,892,1104,1658,2521,3832,4828,high
27,253,624,862,1123,1619,2419,3877,4920,high
15,211,630,916,1148,1556,2221,3545,4669,high
