Signal,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Word
47,88,388,770,1000,1304,1853,3295,4199,low
34,99,398,755,1066,1372,1935,3277,4146,low
10,69,395,770,1034,1349,1847,3184,4237,low
14,86,397,795,1064,1350,1939,3184,4340,low
15,96,378,769,1044,1333,1849,3135,4392,low
8,63,379,770,1052,1300,1882,3187,4149,low
7,61,352,790,1007,1396,1906,3245,4204,low
7,74,356,777,1068,1363,1969,3278,4437,low
45,59,359,793,1097,1372,1880,3272,4233,low
35,88,360,762,1080,1307,1897,3131,4362,low
17,58,361,784,1004,1388,1830,3201,4352,low
42,59,377,792,1000,1396,1914,3184,4380,low
38,66,369,797,1033,1316,1941,3106,4376,low
43,65,375,771,1097,1368,1930,3252,4232,low
41,52,382,767,1016,1349,1917,3175,4286,low
19,98,371,798,1050,1300,1964,3130,4384,low
20,89,382,776,1067,1352,1932,3227,4444,low
44,86,377,788,1098,1321,1821,3244,4338,low
14,83,352,784,1044,1352,1804,3170,4342,low
9,81,379,768,1022,1397,1875,3277,4254,low
10,93,368,768,1075,1312,1896,3161,4227,low
15,99,385,751,1076,1370,1856,3270,4377,low
35,58,356,752,1007,1394,1858,3225,4428,low
35,80,367,782,1000,1314,1809,3165,4235,low
24,85,380,796,1068,1385,1812,3272,4206,low
31,77,377,796,1042,1350,1945,3231,4225,low
41,84,397,771,1096,1354,1818,3154,4458,low
17,66,395,762,1063,1400,1813,3149,4490,low
44,96,386,754,1065,1308,1809,3163,4200,low
41,57,363,762,1009,1395,1868,3199,4365,low
26,183,538,872,1111,1518,2386,3665,4613,mid
46,107,453,859,1130,1535,2359,3555,4634,mid
25,185,530,883,1115,1501,2299,3440,4682,mid
45,108,531,855,1115,1547,2031,3423,4634,mid
37,131,502,867,1120,1471,2158,3722,4612,mid
10,197,479,850,1128,1450,2184,3618,4539,mid
29,187,461,868,1130,1486,2045,3648,4525,mid
19,103,450,884,1129,1507,2287,3671,4430,mid
7,199,492,881,1119,1504,2162,3630,4451,mid
15,197,487,867,1129,1480,2170,3746,4408,mid
41,138,454,874,1110,1500,2337,3445,4599,mid
41,111,462,863,1115,1535,2370,3505,4600,mid
39,161,452,874,1121,1511,2253,3674,4596,mid
23,112,531,898,1114,1524,2386,3408,4675,mid
10,183,518,850,1111,1494,2312,3417,4634,mid
29,144,452,856,1116,1518,2147,3729,4447,mid
36,194,484,888,1112,1520,2314,3568,4571,mid
16,123,515,887,1123,1482,2036,3532,4661,mid
21,148,450,890,1112,1528,2214,3428,4549,mid
38,157,470,853,1130,1454,2289,3465,4669,mid
43,131,456,881,1128,1545,2355,3621,4578,mid
13,118,548,897,1128,1514,2269,3592,4686,mid
40,143,459,854,1122,1450,2192,3475,4501,mid
41,149,494,897,1128,1507,2350,3666,4679,mid
19,182,455,883,1114,1506,2354,3541,4549,mid
19,158,540,891,1116,1487,2366,3472,4667,mid
34,180,524,872,1128,1455,2199,3735,4663,mid
29,197,471,857,1119,1473,2316,3451,4590,mid
28,123,500,899,1115,1480,2166,3577,4526,mid
14,168,477,895,1123,1502,2122,3698,4502,mid
