Signal,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Word
21,75,350,783,1006,1447,1888,3195,4131,low
37,85,397,774,1061,1392,1858,3220,4331,low
15,66,382,767,1093,1352,1963,3171,4425,low
21,94,354,777,1025,1403,1882,3182,4266,low
33,97,370,750,1040,1453,1931,3201,4401,low
34,95,357,786,1053,1442,1834,3110,4495,low
39,83,385,768,1062,1445,1881,3159,4485,low
16,99,399,751,1028,1452,1851,3104,4230,low
36,58,382,763,1017,1371,1993,3206,4142,low
30,52,366,763,1024,1408,1858,3213,4211,low
36,80,388,767,1020,1341,1832,3125,4220,low
7,60,400,773,1034,1473,1969,3293,4426,low
13,51,378,787,1061,1305,1978,3254,4276,low
16,75,391,769,1029,1356,1851,3216,4379,low
45,67,400,774,1041,1338,1860,3226,4468,low
31,92,352,775,1062,1472,1889,3147,4173,low
42,54,351,765,1013,1427,1978,3145,4236,low
28,91,375,779,1096,1446,1826,3128,4393,low
18,96,358,763,1074,1318,1914,3291,4182,low
39,93,355,771,1080,1463,1829,3160,4182,low
12,95,389,785,1090,1311,1953,3124,4179,low
12,71,368,765,1044,1426,1843,3198,4464,low
17,86,380,766,1006,1457,1888,3146,4359,low
28,95,366,776,1072,1429,1953,3262,4417,low
13,86,360,761,1034,1389,1993,3265,4160,low
17,52,376,781,1000,1418,1835,3257,4444,low
45,60,363,752,1080,1395,1852,3203,4250,low
33,62,381,756,1076,1324,1990,3217,4412,low
15,53,385,754,1019,1317,1856,3244,4473,low
39,94,386,773,1006,1354,1916,3291,4344,low
25,198,495,846,1083,1497,2248,3442,4688,mid
13,135,502,801,1092,1507,2163,3258,4534,mid
40,179,529,830,1096,1531,1994,3392,4433,mid
35,158,373,827,1087,1523,2235,3441,4510,mid
36,97,372,861,1110,1486,2218,3531,4611,mid
18,99,445,899,1105,1453,2371,3723,4459,mid
40,141,395,843,1089,1479,2286,3231,4501,mid
13,99,542,838,1083,1581,1950,3738,4606,mid
13,195,473,795,1116,1580,2257,3445,4419,mid
18,176,546,870,1119,1553,2369,3554,4536,mid
13,117,493,843,1105,1518,2156,3290,4613,mid
45,83,355,807,1119,1558,2305,3275,4558,mid
40,169,473,884,1106,1466,2005,3390,4631,mid
42,130,506,861,1117,1542,2269,3694,4560,mid
38,106,417,823,1109,1521,2039,3279,4400,mid
10,94,503,853,1108,1489,1957,3499,4468,mid
25,131,395,789,1081,1506,2012,3378,4609,mid
13,155,521,877,1093,1584,2232,3655,4569,mid
21,146,336,833,1112,1567,2386,3566,4540,mid
47,164,354,888,1080,1598,1948,3551,4649,mid
17,168,447,809,1119,1471,2294,3576,4673,mid
26,89,464,831,1118,1588,2033,3762,4409,mid
44,151,387,889,1125,1538,2273,3608,4441,mid
17,170,545,855,1094,1469,2051,3237,4462,mid
40,136,461,818,1119,1488,2039,3350,4597,mid
17,179,379,784,1122,1511,2150,3679,4616,mid
20,91,427,883,1101,1511,2358,3584,4539,mid
16,156,506,819,1117,1525,2036,3786,4644,mid
11,188,338,826,1128,1514,2322,3455,4572,mid
26,120,422,807,1091,1479,2162,3563,4502,mid
15,256,600,906,1175,1672,2647,3826,4705,high
44,200,496,873,1122,1550,2479,3681,4966,high
11,228,621,886,1101,1601,2248,3851,4723,high
23,180,632,853,1150,1588,2917,3824,4773,high
12,265,564,850,1151,1669,2855,3955,4647,high
25,233,545,921,1117,1555,2592,3806,4662,high
10,220,583,876,1159,1600,2241,3557,4644,high
27,205,571,916,1107,1613,2805,3892,4737,high
45,250,564,920,1131,1635,2823,3789,4726,high
42,213,497,853,1171,1646,2792,3618,4913,high
37,254,629,881,1100,1586,2952,3772,4951,high
38,186,576,882,1150,1663,2325,3545,4713,high
46,248,668,911,1108,1593,2420,3872,4606,high
46,235,658,860,1159,1665,2927,3917,4670,high
34,226,502,859,1106,1580,2676,3960,4632,high
17,270,617,888,1152,1657,2248,3867,4833,high
32,180,535,868,1122,1670,2387,3554,4608,high
37,223,670,918,1161,1566,2534,3593,4667,high
36,251,524,917,1120,1638,2218,3563,4739,high
18,261,616,865,1133,1583,2614,3875,4642,high
